video_id;author;comment;class
NkMQpa2a2Ec;Finanzas en Perspectiva;?? Tu suscripción - Mi motivación ));0
NkMQpa2a2Ec;Pedro Hereira;Suscrito y campana activada.;0
NkMQpa2a2Ec;KEVIN MITHNICK;Una persona con abundantes riquezas es aquella que tiene muy pocas necesidades;0
NkMQpa2a2Ec;Anonima;LA RIQUEZA NO  ES SOLO TENER DINERO;0
NkMQpa2a2Ec;José Masetto;Prefiero tener pocos amigos pero los que me quieran como soy.despues de hacer malos negocios.aprendí que si hubiera hecho  las cosas bien estaria mucho mejor.mas vale tarde que nunca.y nunca es tarde para aprender;0
NkMQpa2a2Ec;Liam Richard;"Creo que la crisis rusa ha hecho que la gente tome conciencia del valor de tener varias fuentes de ingresos. Desafortunadamente, tener un trabajo no garantiza seguridad; en cambio, la seguridad real proviene de la diversificación de sus inversiones. La clave para una especulación exitosa en los mercados financieros es una comprensión de la inversión institucional. Cuando se trata de criptomonedas, vale la pena invertir en información, al igual que elegir el plan adecuado para usted. Desde que comencé a operar con la Sra. Dora Snyder, cuyas habilidades son asombrosas, he visto grandes ganancias en mi inversión. Trabajar duro es bueno, pero trabajar sabiamente es mejor.";0
NkMQpa2a2Ec;Elizabeth;Gracias;0
NkMQpa2a2Ec;Liam Richard;puedes comunicarte con ella en telegam;1
NkMQpa2a2Ec;Jennifer Aldovino;Al principio era escéptico hasta que decidí intentarlo. ¡Su enorme retorno es impresionante! No puedo decir mucho.;0
NkMQpa2a2Ec;Elizabeth;Soy nueva en esto, ¿cómo puedo llegar a ella?;0
NkMQpa2a2Ec;Eduardo Castro;Tu tambien inviertes con doña Dora??? Esa mujer ha sido una bendición para mi familia y amigos.;0
NkMQpa2a2Ec;Caroline eleanor;Que sorprendente coincidencia, la señora Dora cambió mi vida debido a las enormes ganancias que obtuve al invertir con ella.;0
NkMQpa2a2Ec;Jennifer White;Una buena T/A como ella necesita más recomendaciones, he obtenido muchas ganancias invirtiendo con ella.;0
